"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1",-0.5,"Native 1",38,"disamb","fp","disamb fp",6,0,328,328,-0.5,-0.5,328
"3",-0.5,"Native 1",39,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"5",-0.5,"Native 1",26,"disamb","fp","disamb fp",6,0,336,336,-0.5,-0.5,336
"7",-0.5,"Native 1",34,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"9",-0.5,"Native 1",46,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"11",-0.5,"Native 1",29,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"13",-0.5,"Native 1",36,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"15",-0.5,"Native 1",30,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"17",-0.5,"Native 1",40,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"19",-0.5,"Native 1",33,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"21",-0.5,"Native 1",43,"disamb","fp","disamb fp",7,0,311,311,0.5,0.5,311
"23",-0.5,"Native 1",28,"disamb","fp","disamb fp",8,0,375,375,-0.5,0.5,375
"25",-0.5,"Native 1",31,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"27",-0.5,"Native 1",45,"disamb","fp","disamb fp",5,0,298,298,0.5,-0.5,298
"29",-0.5,"Native 1",25,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"31",-0.5,"Native 1",41,"disamb","fp","disamb fp",5,0,252,252,0.5,-0.5,252
"33",-0.5,"Native 1",42,"disamb","fp","disamb fp",6,0,682,682,-0.5,-0.5,682
"35",-0.5,"Native 1",37,"disamb","fp","disamb fp",5,0,253,253,0.5,-0.5,253
"37",-0.5,"Native 1",32,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"39",-0.5,"Native 1",48,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"41",-0.5,"Native 1",47,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"43",-0.5,"Native 1",44,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"45",-0.5,"Native 1",27,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"47",-0.5,"Native 1",35,"disamb","fp","disamb fp",7,0,201,201,0.5,0.5,201
"49",-0.5,"Native 2",46,"disamb","fp","disamb fp",7,0,159,159,0.5,0.5,159
"51",-0.5,"Native 2",25,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"53",-0.5,"Native 2",39,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"55",-0.5,"Native 2",38,"disamb","fp","disamb fp",7,0,329,329,0.5,0.5,329
"57",-0.5,"Native 2",30,"disamb","fp","disamb fp",7,0,576,576,0.5,0.5,576
"59",-0.5,"Native 2",27,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"61",-0.5,"Native 2",29,"disamb","fp","disamb fp",6,0,506,506,-0.5,-0.5,506
"63",-0.5,"Native 2",33,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"65",-0.5,"Native 2",32,"disamb","fp","disamb fp",5,0,225,225,0.5,-0.5,225
"67",-0.5,"Native 2",43,"disamb","fp","disamb fp",8,0,478,478,-0.5,0.5,478
"69",-0.5,"Native 2",45,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"71",-0.5,"Native 2",48,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"73",-0.5,"Native 2",47,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"75",-0.5,"Native 2",31,"disamb","fp","disamb fp",8,0,407,407,-0.5,0.5,407
"77",-0.5,"Native 2",26,"disamb","fp","disamb fp",7,0,183,183,0.5,0.5,183
"79",-0.5,"Native 2",42,"disamb","fp","disamb fp",7,0,176,176,0.5,0.5,176
"81",-0.5,"Native 2",36,"disamb","fp","disamb fp",5,0,194,194,0.5,-0.5,194
"83",-0.5,"Native 2",35,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"85",-0.5,"Native 2",44,"disamb","fp","disamb fp",5,0,208,208,0.5,-0.5,208
"87",-0.5,"Native 2",41,"disamb","fp","disamb fp",6,0,315,315,-0.5,-0.5,315
"89",-0.5,"Native 2",37,"disamb","fp","disamb fp",6,0,209,209,-0.5,-0.5,209
"91",-0.5,"Native 2",40,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"93",-0.5,"Native 2",28,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"95",-0.5,"Native 2",34,"disamb","fp","disamb fp",7,0,301,301,0.5,0.5,301
"98",-0.5,"Native 3",34,"disamb","fp","disamb fp",8,0,563,563,-0.5,0.5,563
"100",-0.5,"Native 3",30,"disamb","fp","disamb fp",8,0,562,562,-0.5,0.5,562
"102",-0.5,"Native 3",38,"disamb","fp","disamb fp",8,0,87,87,-0.5,0.5,87
"104",-0.5,"Native 3",43,"disamb","fp","disamb fp",5,0,130,130,0.5,-0.5,130
"106",-0.5,"Native 3",47,"disamb","fp","disamb fp",5,0,1174,1174,0.5,-0.5,1174
"108",-0.5,"Native 3",25,"disamb","fp","disamb fp",7,0,327,327,0.5,0.5,327
"110",-0.5,"Native 3",37,"disamb","fp","disamb fp",7,0,622,622,0.5,0.5,622
"112",-0.5,"Native 3",40,"disamb","fp","disamb fp",6,0,117,117,-0.5,-0.5,117
"114",-0.5,"Native 3",42,"disamb","fp","disamb fp",8,0,991,991,-0.5,0.5,991
"116",-0.5,"Native 3",33,"disamb","fp","disamb fp",7,0,416,416,0.5,0.5,416
"118",-0.5,"Native 3",39,"disamb","fp","disamb fp",5,0,397,397,0.5,-0.5,397
"120",-0.5,"Native 3",41,"disamb","fp","disamb fp",7,0,706,706,0.5,0.5,706
"122",-0.5,"Native 3",27,"disamb","fp","disamb fp",5,0,484,484,0.5,-0.5,484
"124",-0.5,"Native 3",29,"disamb","fp","disamb fp",7,0,314,314,0.5,0.5,314
"126",-0.5,"Native 3",46,"disamb","fp","disamb fp",8,0,384,384,-0.5,0.5,384
"128",-0.5,"Native 3",28,"disamb","fp","disamb fp",6,0,385,385,-0.5,-0.5,385
"130",-0.5,"Native 3",35,"disamb","fp","disamb fp",5,0,1239,1239,0.5,-0.5,1239
"132",-0.5,"Native 3",45,"disamb","fp","disamb fp",7,0,158,158,0.5,0.5,158
"134",-0.5,"Native 3",32,"disamb","fp","disamb fp",6,0,1315,1315,-0.5,-0.5,1315
"136",-0.5,"Native 3",26,"disamb","fp","disamb fp",8,0,659,659,-0.5,0.5,659
"138",-0.5,"Native 3",36,"disamb","fp","disamb fp",6,0,473,473,-0.5,-0.5,473
"140",-0.5,"Native 3",31,"disamb","fp","disamb fp",5,0,588,588,0.5,-0.5,588
"142",-0.5,"Native 3",48,"disamb","fp","disamb fp",6,0,1194,1194,-0.5,-0.5,1194
"144",-0.5,"Native 3",44,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"146",-0.5,"Native 4",43,"disamb","fp","disamb fp",6,0,306,306,-0.5,-0.5,306
"148",-0.5,"Native 4",33,"disamb","fp","disamb fp",8,0,161,161,-0.5,0.5,161
"150",-0.5,"Native 4",29,"disamb","fp","disamb fp",8,0,211,211,-0.5,0.5,211
"152",-0.5,"Native 4",41,"disamb","fp","disamb fp",8,0,183,183,-0.5,0.5,183
"154",-0.5,"Native 4",26,"disamb","fp","disamb fp",5,0,302,302,0.5,-0.5,302
"156",-0.5,"Native 4",28,"disamb","fp","disamb fp",7,0,226,226,0.5,0.5,226
"158",-0.5,"Native 4",25,"disamb","fp","disamb fp",8,0,273,273,-0.5,0.5,273
"160",-0.5,"Native 4",34,"disamb","fp","disamb fp",5,0,347,347,0.5,-0.5,347
"162",-0.5,"Native 4",38,"disamb","fp","disamb fp",5,0,262,262,0.5,-0.5,262
"164",-0.5,"Native 4",30,"disamb","fp","disamb fp",5,0,194,194,0.5,-0.5,194
"166",-0.5,"Native 4",48,"disamb","fp","disamb fp",7,0,166,166,0.5,0.5,166
"168",-0.5,"Native 4",27,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"170",-0.5,"Native 4",35,"disamb","fp","disamb fp",6,0,431,431,-0.5,-0.5,431
"172",-0.5,"Native 4",45,"disamb","fp","disamb fp",8,0,293,293,-0.5,0.5,293
"174",-0.5,"Native 4",42,"disamb","fp","disamb fp",5,0,277,277,0.5,-0.5,277
"176",-0.5,"Native 4",47,"disamb","fp","disamb fp",6,0,218,218,-0.5,-0.5,218
"178",-0.5,"Native 4",39,"disamb","fp","disamb fp",6,0,303,303,-0.5,-0.5,303
"180",-0.5,"Native 4",44,"disamb","fp","disamb fp",7,0,187,187,0.5,0.5,187
"182",-0.5,"Native 4",32,"disamb","fp","disamb fp",7,0,293,293,0.5,0.5,293
"184",-0.5,"Native 4",37,"disamb","fp","disamb fp",8,0,231,231,-0.5,0.5,231
"186",-0.5,"Native 4",46,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"188",-0.5,"Native 4",31,"disamb","fp","disamb fp",6,0,293,293,-0.5,-0.5,293
"190",-0.5,"Native 4",40,"disamb","fp","disamb fp",7,0,427,427,0.5,0.5,427
"192",-0.5,"Native 4",36,"disamb","fp","disamb fp",7,0,321,321,0.5,0.5,321
"193",-0.5,"Native 5",39,"disamb","fp","disamb fp",7,0,458,458,0.5,0.5,458
"195",-0.5,"Native 5",33,"disamb","fp","disamb fp",5,0,229,229,0.5,-0.5,229
"197",-0.5,"Native 5",30,"disamb","fp","disamb fp",6,0,149,149,-0.5,-0.5,149
"199",-0.5,"Native 5",46,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"201",-0.5,"Native 5",25,"disamb","fp","disamb fp",5,0,617,617,0.5,-0.5,617
"203",-0.5,"Native 5",42,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"205",-0.5,"Native 5",41,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"207",-0.5,"Native 5",36,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"209",-0.5,"Native 5",34,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"211",-0.5,"Native 5",35,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"213",-0.5,"Native 5",43,"disamb","fp","disamb fp",7,0,443,443,0.5,0.5,443
"215",-0.5,"Native 5",47,"disamb","fp","disamb fp",7,0,186,186,0.5,0.5,186
"217",-0.5,"Native 5",38,"disamb","fp","disamb fp",6,0,267,267,-0.5,-0.5,267
"219",-0.5,"Native 5",27,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"221",-0.5,"Native 5",45,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"223",-0.5,"Native 5",37,"disamb","fp","disamb fp",5,0,131,131,0.5,-0.5,131
"225",-0.5,"Native 5",48,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"227",-0.5,"Native 5",44,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"229",-0.5,"Native 5",26,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"231",-0.5,"Native 5",32,"disamb","fp","disamb fp",8,0,448,448,-0.5,0.5,448
"233",-0.5,"Native 5",28,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"235",-0.5,"Native 5",31,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"237",-0.5,"Native 5",29,"disamb","fp","disamb fp",5,0,244,244,0.5,-0.5,244
"239",-0.5,"Native 5",40,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"242",-0.5,"Native 6",30,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"244",-0.5,"Native 6",35,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"246",-0.5,"Native 6",43,"disamb","fp","disamb fp",8,0,264,264,-0.5,0.5,264
"248",-0.5,"Native 6",36,"disamb","fp","disamb fp",5,0,147,147,0.5,-0.5,147
"250",-0.5,"Native 6",32,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"252",-0.5,"Native 6",37,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"254",-0.5,"Native 6",47,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"256",-0.5,"Native 6",33,"disamb","fp","disamb fp",6,0,139,139,-0.5,-0.5,139
"258",-0.5,"Native 6",41,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"260",-0.5,"Native 6",26,"disamb","fp","disamb fp",7,0,146,146,0.5,0.5,146
"262",-0.5,"Native 6",39,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"264",-0.5,"Native 6",38,"disamb","fp","disamb fp",7,0,102,102,0.5,0.5,102
"266",-0.5,"Native 6",25,"disamb","fp","disamb fp",6,0,88,88,-0.5,-0.5,88
"268",-0.5,"Native 6",34,"disamb","fp","disamb fp",7,0,179,179,0.5,0.5,179
"270",-0.5,"Native 6",27,"disamb","fp","disamb fp",8,0,143,143,-0.5,0.5,143
"272",-0.5,"Native 6",48,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"274",-0.5,"Native 6",28,"disamb","fp","disamb fp",5,0,331,331,0.5,-0.5,331
"276",-0.5,"Native 6",31,"disamb","fp","disamb fp",8,0,183,183,-0.5,0.5,183
"278",-0.5,"Native 6",46,"disamb","fp","disamb fp",7,0,136,136,0.5,0.5,136
"280",-0.5,"Native 6",40,"disamb","fp","disamb fp",5,0,184,184,0.5,-0.5,184
"282",-0.5,"Native 6",42,"disamb","fp","disamb fp",7,0,179,179,0.5,0.5,179
"284",-0.5,"Native 6",45,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"286",-0.5,"Native 6",44,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"288",-0.5,"Native 6",29,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"289",-0.5,"Native 7",44,"disamb","fp","disamb fp",6,0,366,366,-0.5,-0.5,366
"291",-0.5,"Native 7",35,"disamb","fp","disamb fp",5,0,624,624,0.5,-0.5,624
"293",-0.5,"Native 7",26,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"295",-0.5,"Native 7",38,"disamb","fp","disamb fp",8,0,170,170,-0.5,0.5,170
"297",-0.5,"Native 7",28,"disamb","fp","disamb fp",6,0,222,222,-0.5,-0.5,222
"299",-0.5,"Native 7",45,"disamb","fp","disamb fp",7,0,199,199,0.5,0.5,199
"301",-0.5,"Native 7",41,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"303",-0.5,"Native 7",43,"disamb","fp","disamb fp",5,0,1172,1172,0.5,-0.5,1172
"305",-0.5,"Native 7",27,"disamb","fp","disamb fp",5,0,481,481,0.5,-0.5,481
"307",-0.5,"Native 7",32,"disamb","fp","disamb fp",6,0,460,460,-0.5,-0.5,460
"309",-0.5,"Native 7",47,"disamb","fp","disamb fp",5,0,760,760,0.5,-0.5,760
"311",-0.5,"Native 7",42,"disamb","fp","disamb fp",8,0,432,432,-0.5,0.5,432
"313",-0.5,"Native 7",29,"disamb","fp","disamb fp",7,0,393,393,0.5,0.5,393
"315",-0.5,"Native 7",46,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"317",-0.5,"Native 7",36,"disamb","fp","disamb fp",6,0,161,161,-0.5,-0.5,161
"319",-0.5,"Native 7",39,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"321",-0.5,"Native 7",48,"disamb","fp","disamb fp",6,0,243,243,-0.5,-0.5,243
"323",-0.5,"Native 7",33,"disamb","fp","disamb fp",7,0,516,516,0.5,0.5,516
"325",-0.5,"Native 7",34,"disamb","fp","disamb fp",8,0,587,587,-0.5,0.5,587
"327",-0.5,"Native 7",40,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"329",-0.5,"Native 7",30,"disamb","fp","disamb fp",8,0,257,257,-0.5,0.5,257
"331",-0.5,"Native 7",25,"disamb","fp","disamb fp",7,0,427,427,0.5,0.5,427
"333",-0.5,"Native 7",31,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"335",-0.5,"Native 7",37,"disamb","fp","disamb fp",7,0,180,180,0.5,0.5,180
"338",-0.5,"Native 8",46,"disamb","fp","disamb fp",5,0,200,200,0.5,-0.5,200
"340",-0.5,"Native 8",41,"disamb","fp","disamb fp",8,0,191,191,-0.5,0.5,191
"342",-0.5,"Native 8",39,"disamb","fp","disamb fp",6,0,352,352,-0.5,-0.5,352
"344",-0.5,"Native 8",35,"disamb","fp","disamb fp",6,0,369,369,-0.5,-0.5,369
"346",-0.5,"Native 8",26,"disamb","fp","disamb fp",5,0,417,417,0.5,-0.5,417
"348",-0.5,"Native 8",44,"disamb","fp","disamb fp",7,0,207,207,0.5,0.5,207
"350",-0.5,"Native 8",38,"disamb","fp","disamb fp",5,0,491,491,0.5,-0.5,491
"352",-0.5,"Native 8",28,"disamb","fp","disamb fp",7,0,529,529,0.5,0.5,529
"354",-0.5,"Native 8",34,"disamb","fp","disamb fp",5,0,582,582,0.5,-0.5,582
"356",-0.5,"Native 8",36,"disamb","fp","disamb fp",7,0,469,469,0.5,0.5,469
"358",-0.5,"Native 8",48,"disamb","fp","disamb fp",7,0,360,360,0.5,0.5,360
"360",-0.5,"Native 8",47,"disamb","fp","disamb fp",6,0,363,363,-0.5,-0.5,363
"362",-0.5,"Native 8",25,"disamb","fp","disamb fp",8,0,418,418,-0.5,0.5,418
"364",-0.5,"Native 8",43,"disamb","fp","disamb fp",6,0,264,264,-0.5,-0.5,264
"366",-0.5,"Native 8",42,"disamb","fp","disamb fp",5,0,360,360,0.5,-0.5,360
"368",-0.5,"Native 8",31,"disamb","fp","disamb fp",6,0,257,257,-0.5,-0.5,257
"370",-0.5,"Native 8",32,"disamb","fp","disamb fp",7,0,217,217,0.5,0.5,217
"372",-0.5,"Native 8",33,"disamb","fp","disamb fp",8,0,262,262,-0.5,0.5,262
"374",-0.5,"Native 8",27,"disamb","fp","disamb fp",6,0,409,409,-0.5,-0.5,409
"376",-0.5,"Native 8",45,"disamb","fp","disamb fp",8,0,255,255,-0.5,0.5,255
"378",-0.5,"Native 8",30,"disamb","fp","disamb fp",5,0,241,241,0.5,-0.5,241
"380",-0.5,"Native 8",37,"disamb","fp","disamb fp",8,0,324,324,-0.5,0.5,324
"382",-0.5,"Native 8",29,"disamb","fp","disamb fp",8,0,415,415,-0.5,0.5,415
"384",-0.5,"Native 8",40,"disamb","fp","disamb fp",7,0,378,378,0.5,0.5,378
"385",-0.5,"Native 9",40,"disamb","fp","disamb fp",8,0,168,168,-0.5,0.5,168
"387",-0.5,"Native 9",37,"disamb","fp","disamb fp",5,0,394,394,0.5,-0.5,394
"389",-0.5,"Native 9",42,"disamb","fp","disamb fp",6,0,252,252,-0.5,-0.5,252
"391",-0.5,"Native 9",39,"disamb","fp","disamb fp",7,0,237,237,0.5,0.5,237
"393",-0.5,"Native 9",35,"disamb","fp","disamb fp",7,0,218,218,0.5,0.5,218
"395",-0.5,"Native 9",38,"disamb","fp","disamb fp",6,0,166,166,-0.5,-0.5,166
"397",-0.5,"Native 9",26,"disamb","fp","disamb fp",6,0,381,381,-0.5,-0.5,381
"399",-0.5,"Native 9",32,"disamb","fp","disamb fp",8,0,412,412,-0.5,0.5,412
"401",-0.5,"Native 9",29,"disamb","fp","disamb fp",5,0,645,645,0.5,-0.5,645
"403",-0.5,"Native 9",47,"disamb","fp","disamb fp",7,0,596,596,0.5,0.5,596
"405",-0.5,"Native 9",36,"disamb","fp","disamb fp",8,0,334,334,-0.5,0.5,334
"407",-0.5,"Native 9",27,"disamb","fp","disamb fp",7,0,492,492,0.5,0.5,492
"409",-0.5,"Native 9",48,"disamb","fp","disamb fp",8,0,675,675,-0.5,0.5,675
"411",-0.5,"Native 9",28,"disamb","fp","disamb fp",8,0,379,379,-0.5,0.5,379
"413",-0.5,"Native 9",33,"disamb","fp","disamb fp",5,0,244,244,0.5,-0.5,244
"415",-0.5,"Native 9",31,"disamb","fp","disamb fp",7,0,178,178,0.5,0.5,178
"417",-0.5,"Native 9",43,"disamb","fp","disamb fp",7,0,332,332,0.5,0.5,332
"419",-0.5,"Native 9",44,"disamb","fp","disamb fp",8,0,541,541,-0.5,0.5,541
"421",-0.5,"Native 9",45,"disamb","fp","disamb fp",5,0,390,390,0.5,-0.5,390
"423",-0.5,"Native 9",46,"disamb","fp","disamb fp",6,0,427,427,-0.5,-0.5,427
"425",-0.5,"Native 9",30,"disamb","fp","disamb fp",6,0,280,280,-0.5,-0.5,280
"427",-0.5,"Native 9",25,"disamb","fp","disamb fp",5,0,301,301,0.5,-0.5,301
"429",-0.5,"Native 9",41,"disamb","fp","disamb fp",5,0,175,175,0.5,-0.5,175
"431",-0.5,"Native 9",34,"disamb","fp","disamb fp",6,0,242,242,-0.5,-0.5,242
"433",-0.5,"Native 10",40,"disamb","fp","disamb fp",5,0,444,444,0.5,-0.5,444
"435",-0.5,"Native 10",25,"disamb","fp","disamb fp",6,0,150,150,-0.5,-0.5,150
"437",-0.5,"Native 10",28,"disamb","fp","disamb fp",5,0,177,177,0.5,-0.5,177
"439",-0.5,"Native 10",29,"disamb","fp","disamb fp",6,0,241,241,-0.5,-0.5,241
"441",-0.5,"Native 10",47,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"443",-0.5,"Native 10",37,"disamb","fp","disamb fp",6,0,431,431,-0.5,-0.5,431
"445",-0.5,"Native 10",30,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"447",-0.5,"Native 10",45,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"449",-0.5,"Native 10",36,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"451",-0.5,"Native 10",26,"disamb","fp","disamb fp",7,0,284,284,0.5,0.5,284
"453",-0.5,"Native 10",32,"disamb","fp","disamb fp",5,0,281,281,0.5,-0.5,281
"455",-0.5,"Native 10",43,"disamb","fp","disamb fp",8,0,304,304,-0.5,0.5,304
"457",-0.5,"Native 10",33,"disamb","fp","disamb fp",6,0,181,181,-0.5,-0.5,181
"459",-0.5,"Native 10",31,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"461",-0.5,"Native 10",39,"disamb","fp","disamb fp",8,0,166,166,-0.5,0.5,166
"463",-0.5,"Native 10",42,"disamb","fp","disamb fp",7,0,655,655,0.5,0.5,655
"465",-0.5,"Native 10",48,"disamb","fp","disamb fp",5,0,800,800,0.5,-0.5,800
"467",-0.5,"Native 10",27,"disamb","fp","disamb fp",8,0,160,160,-0.5,0.5,160
"469",-0.5,"Native 10",35,"disamb","fp","disamb fp",8,0,185,185,-0.5,0.5,185
"471",-0.5,"Native 10",46,"disamb","fp","disamb fp",7,0,188,188,0.5,0.5,188
"473",-0.5,"Native 10",38,"disamb","fp","disamb fp",7,0,188,188,0.5,0.5,188
"475",-0.5,"Native 10",34,"disamb","fp","disamb fp",7,0,410,410,0.5,0.5,410
"477",-0.5,"Native 10",44,"disamb","fp","disamb fp",5,0,178,178,0.5,-0.5,178
"479",-0.5,"Native 10",41,"disamb","fp","disamb fp",6,0,264,264,-0.5,-0.5,264
"481",-0.5,"Native 11",37,"disamb","fp","disamb fp",7,0,1524,1524,0.5,0.5,NA
"483",-0.5,"Native 11",43,"disamb","fp","disamb fp",5,0,776,776,0.5,-0.5,776
"485",-0.5,"Native 11",34,"disamb","fp","disamb fp",8,0,476,476,-0.5,0.5,476
"487",-0.5,"Native 11",38,"disamb","fp","disamb fp",8,0,404,404,-0.5,0.5,404
"489",-0.5,"Native 11",26,"disamb","fp","disamb fp",8,0,214,214,-0.5,0.5,214
"491",-0.5,"Native 11",42,"disamb","fp","disamb fp",8,0,444,444,-0.5,0.5,444
"493",-0.5,"Native 11",46,"disamb","fp","disamb fp",8,0,286,286,-0.5,0.5,286
"495",-0.5,"Native 11",41,"disamb","fp","disamb fp",7,0,368,368,0.5,0.5,368
"497",-0.5,"Native 11",31,"disamb","fp","disamb fp",5,0,398,398,0.5,-0.5,398
"499",-0.5,"Native 11",45,"disamb","fp","disamb fp",7,0,172,172,0.5,0.5,172
"501",-0.5,"Native 11",35,"disamb","fp","disamb fp",5,0,708,708,0.5,-0.5,708
"503",-0.5,"Native 11",32,"disamb","fp","disamb fp",6,0,294,294,-0.5,-0.5,294
"505",-0.5,"Native 11",47,"disamb","fp","disamb fp",5,0,324,324,0.5,-0.5,324
"507",-0.5,"Native 11",36,"disamb","fp","disamb fp",6,0,402,402,-0.5,-0.5,402
"509",-0.5,"Native 11",25,"disamb","fp","disamb fp",7,0,98,98,0.5,0.5,98
"511",-0.5,"Native 11",30,"disamb","fp","disamb fp",8,0,672,672,-0.5,0.5,672
"513",-0.5,"Native 11",40,"disamb","fp","disamb fp",6,0,404,404,-0.5,-0.5,404
"515",-0.5,"Native 11",48,"disamb","fp","disamb fp",6,0,680,680,-0.5,-0.5,680
"517",-0.5,"Native 11",29,"disamb","fp","disamb fp",7,0,424,424,0.5,0.5,424
"519",-0.5,"Native 11",27,"disamb","fp","disamb fp",5,0,678,678,0.5,-0.5,678
"521",-0.5,"Native 11",33,"disamb","fp","disamb fp",7,0,410,410,0.5,0.5,410
"523",-0.5,"Native 11",39,"disamb","fp","disamb fp",5,0,672,672,0.5,-0.5,672
"525",-0.5,"Native 11",28,"disamb","fp","disamb fp",6,0,326,326,-0.5,-0.5,326
"527",-0.5,"Native 11",44,"disamb","fp","disamb fp",6,0,434,434,-0.5,-0.5,434
"529",-0.5,"Native 12",37,"disamb","fp","disamb fp",6,0,377,377,-0.5,-0.5,377
"531",-0.5,"Native 12",43,"disamb","fp","disamb fp",8,0,345,345,-0.5,0.5,345
"533",-0.5,"Native 12",25,"disamb","fp","disamb fp",6,0,168,168,-0.5,-0.5,168
"535",-0.5,"Native 12",26,"disamb","fp","disamb fp",7,0,268,268,0.5,0.5,268
"537",-0.5,"Native 12",46,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"539",-0.5,"Native 12",31,"disamb","fp","disamb fp",8,0,220,220,-0.5,0.5,220
"541",-0.5,"Native 12",39,"disamb","fp","disamb fp",8,0,322,322,-0.5,0.5,322
"543",-0.5,"Native 12",38,"disamb","fp","disamb fp",7,0,179,179,0.5,0.5,179
"545",-0.5,"Native 12",27,"disamb","fp","disamb fp",8,0,572,572,-0.5,0.5,572
"547",-0.5,"Native 12",41,"disamb","fp","disamb fp",6,0,304,304,-0.5,-0.5,304
"549",-0.5,"Native 12",29,"disamb","fp","disamb fp",6,0,228,228,-0.5,-0.5,228
"551",-0.5,"Native 12",35,"disamb","fp","disamb fp",8,0,243,243,-0.5,0.5,243
"553",-0.5,"Native 12",40,"disamb","fp","disamb fp",5,0,311,311,0.5,-0.5,311
"555",-0.5,"Native 12",33,"disamb","fp","disamb fp",6,0,150,150,-0.5,-0.5,150
"557",-0.5,"Native 12",36,"disamb","fp","disamb fp",5,0,165,165,0.5,-0.5,165
"559",-0.5,"Native 12",47,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"561",-0.5,"Native 12",34,"disamb","fp","disamb fp",7,0,152,152,0.5,0.5,152
